timestamp,millis,sensor,nano,altitude,climb,pressure,altitude_raw,latitude,longitude,altitude_gps,vN,vE,groundSpeed,speed,bearing,glide,glideAngle,hAcc,vAcc,sAcc,pdop,hdop,vdop,gpsFix,numSat,groundDistance,flightMode,jumpNumber,gX,gY,gZ,rotX,rotY,rotZ,acc
20120427-120608.212,1335553568212,Alti,318409501250000,3551.066837991615,-27.591343569242255,625.2699584960938,3493.4777426708706,,,,,,,,,,,,,,,,,,,,Freefall,2,-6.158493518829346,3.6452198028564453,-6.709946632385254,-0.4112055003643036,0.8203040957450867,0.33430466055870056,13.562012672424316
20120427-120608.403,1335553568403,Alti,318409703490000,3541.9620861878097,-28.22324495228335,625.2799682617188,3493.3545669330165,,,,,,,,,,,,,,,,,,,,Freefall,2,-7.00393533706665,3.036435604095459,-6.161487102508545,-0.43907806277275085,0.7881916761398315,0.342396080493927,13.723711013793945
20120427-120608.635,1335553568635,Alti,318409906585000,3533.796556844725,-28.659368849327112,624.719970703125,3500.248103972733,,,,,,,,,,,,,,,,,,,,Freefall,2,-7.497608661651611,3.5152900218963623,-5.259762287139893,-0.4406481683254242,0.7575688362121582,0.3959508240222931,13.31527042388916
20120427-120608.721,1335553568721,Alti,318410101958000,3525.7048225116114,-29.105997270397484,625.4500122070313,3491.262325445111,,,,,,,,,,,,,,,,,,,,Freefall,2,-8.020920753479004,3.542084217071533,-4.399651050567627,-0.4160107672214508,0.742409348487854,0.41989511251449585,12.482842445373535
20120427-120608.989,1335553568989,Alti,318410305694000,3516.4471488116733,-29.702095725892477,627.1400146484375,3470.493326488967,,,,,,,,,,,,,,,,,,,,Freefall,2,-8.606951713562012,3.0099408626556396,-3.6190242767333984,-0.39012861251831055,0.7295557856559753,0.4135669469833374,13.553047180175781
20120427-120609.198,1335553569198,Alti,318410508208000,3504.9055319733575,-30.69179691237192,630.5599975585938,3428.602295271104,,,,,,,,,,,,,,,,,,,,Freefall,2,-8.525221824645996,2.25176739692688,-4.299808502197266,-0.3770252466201782,0.7596064209938049,0.34903186559677124,13.29818058013916
20120427-120609.422,1335553569422,Alti,318410703551000,3492.132567538722,-31.905453725499843,633.0399780273438,3398.3401874049355,,,,,,,,,,,,,,,,,,,,Freefall,2,-7.769742965698242,2.4986040592193604,-5.442981243133545,-0.34716796875,0.8104879260063171,0.3096122145652771,14.048991203308105
20120427-120609.629,1335553569629,Alti,318410906585000,3479.677384261112,-32.975533983580526,633.1499633789063,3397.0003092846746,,,,,,,,,,,,,,,,,,,,Freefall,2,-6.733148574829102,3.5443296432495117,-6.192023754119873,-0.31698092818260193,0.8456452488899231,0.32068154215812683,12.037300109863281
20120427-120609.737,1335553569737,Alti,318411102691000,3468.8609593939677,-33.75419538058529,632.2000122070313,3408.5791519944355,,,,,,,,,,,,,,,,,,,,Freefall,2,-6.490353107452393,4.056414604187012,-6.136488914489746,-0.3144494295120239,0.8449178338050842,0.3429188132286072,12.412481307983398
20120427-120610.8,1335553570008,Alti,318411305053000,3460.2244472912857,-34.07741590296209,630.0199584960938,3435.2049287208024,,,,,,,,,,,,,,,,,,,,Freefall,2,-6.86143159866333,4.591252326965332,-5.298980712890625,-0.2991425395011902,0.8249777555465698,0.3865450918674469,10.96817684173584
